ProductKey,ProductId,Product Name,Product SubCategory,Product Category,Product Description,Product Color,Product Model Name,Reorder Point,Standard Cost,Source System Code,Start Date,End Date,Product Status
1,1,Adjustable Race,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
2,2,Bearing Ball,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
3,3,BB Ball Bearing,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
4,4,Headset Ball Bearings,NULL,NULL,NULL,NA,NULL,726,0,1,55:52.0,02:07.0,Current
5,316,Blade,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
6,318,LL Crankarm,NULL,NULL,NULL,Black,NULL,375,0,1,55:52.0,NULL,Current
7,319,ML Crankarm,NULL,NULL,NULL,Black,NULL,375,0,1,55:52.0,NULL,Current
8,320,HL Crankarm,NULL,NULL,NULL,Black,NULL,750,0,1,55:52.0,NULL,Current
9,321,Chainring Bolts,NULL,NULL,NULL,Silver,NULL,750,0,1,55:52.0,NULL,Current
10,322,Chainring Nut,NULL,NULL,NULL,Silver,NULL,750,0,1,55:52.0,NULL,Current
11,323,Chainring,NULL,NULL,NULL,Black,NULL,750,0,1,55:52.0,NULL,Current
12,324,Crown Race,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
13,325,Chain Stays,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
14,326,Decal 1,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
15,328,Decal 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
16,329,Down Tube,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
17,330,Mountain End Caps,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
18,331,Road End Caps,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
19,332,Touring End Caps,NULL,NULL,NULL,NA,NULL,375,0,1,55:52.0,NULL,Current
20,341,Fork End,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
21,342,Freewheel,NULL,NULL,NULL,Silver,NULL,750,0,1,55:52.0,NULL,Current
22,343,Flat Washer 1,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
23,344,Flat Washer 6,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
24,346,Flat Washer 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
25,347,Flat Washer 9,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
26,348,Flat Washer 4,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
27,349,Flat Washer 3,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
28,350,Flat Washer 8,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
29,351,Flat Washer 5,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
30,352,Flat Washer 7,NULL,NULL,NULL,NA,NULL,600,0,1,55:52.0,NULL,Current
31,355,Fork Crown,NULL,NULL,NULL,NA,NULL,726,0,1,55:52.0,02:07.0,Current
32,356,Front Derailleur Cage,NULL,NULL,NULL,Silver,NULL,600,0,1,55:52.0,NULL,Current
33,358,Front Derailleur Linkage,NULL,NULL,NULL,Silver,NULL,600,0,1,55:52.0,NULL,Current
34,359,Guide Pulley,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
35,360,LL Grip Tape,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
36,361,ML Grip Tape,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
37,362,HL Grip Tape,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
38,363,Thin-Jam Hex Nut 9,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
39,364,Thin-Jam Hex Nut 10,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
40,365,Thin-Jam Hex Nut 1,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
41,366,Thin-Jam Hex Nut 2,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
42,368,Thin-Jam Hex Nut 15,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
43,369,Thin-Jam Hex Nut 16,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
44,370,Thin-Jam Hex Nut 5,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
45,371,Thin-Jam Hex Nut 6,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
46,372,Thin-Jam Hex Nut 3,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
47,373,Thin-Jam Hex Nut 4,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
48,374,Thin-Jam Hex Nut 13,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
49,375,Thin-Jam Hex Nut 14,NULL,NULL,NULL,NA,NULL,908,0,1,55:52.0,02:07.0,Current
50,376,Thin-Jam Hex Nut 7,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
51,378,Thin-Jam Hex Nut 8,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
52,379,Thin-Jam Hex Nut 12,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
53,380,Thin-Jam Hex Nut 11,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
54,381,Hex Nut 5,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
55,382,Hex Nut 6,NULL,NULL,NULL,NA,NULL,750,0,1,55:52.0,NULL,Current
